Property1,Property2,Property 3,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20,Feature21,Feature22,Feature23,Feature24,Feature25
430,41,1,0,0,22.222,0,0,80,1373,925,2.142,1.273,1.166,0.501,16.546,1.769,7.326,0.167,1.1,1665.212,13.825,171.935,0.745,195.474,6.905,455,58
320,52,0,0,0,22.222,0,0,80,1473,800,2.142,1.273,1.166,0.501,16.546,1.769,7.326,0.167,1.1,1665.212,13.825,171.935,0.745,195.474,6.905,939,12.3
1720,9,1,0,0,34,6,1473,70,0,680,2.142,1.273,1.166,0.501,16.546,1.769,7.326,0.167,1.1,1665.212,13.825,171.935,0.745,195.474,6.905,1068,6.5
1470,15,0,0,0,34,6,1473,70,948,960,2.237,1.431,1.285,0.655,14.251,1.813,6.513,0.154,1.009,1590.189,13.684,98.3,0.36,97.364,26.129,366,59
1050,22,1,0,0,34,6,1473,70,948,885,2.237,1.431,1.285,0.655,14.251,1.813,6.513,0.154,1.009,1590.189,13.684,98.3,0.36,97.364,26.129,261,60.4
1020,36,0,0,0,34,6,1473,70,948,860,2.237,1.431,1.285,0.655,14.251,1.813,6.513,0.154,1.009,1590.189,13.684,98.3,0.36,97.364,26.129,210,73.1
1270,20,1,0,0,34,6,1473,70,973,775,2.237,1.431,1.285,0.655,14.251,1.813,6.513,0.154,1.009,1590.189,13.684,98.3,0.36,97.364,26.129,1072,9.1
1100,32,0,0,0,34,6,1473,70,973,755,2.237,1.431,1.285,0.655,14.251,1.813,6.513,0.154,1.009,1590.189,13.684,98.3,0.36,97.364,26.129,1011,10.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
